Mouse_ID,Latitude,Longitude,Country,HI,GP60,TRAP_C1,MSC6,GST,SKSR,MEDLE,CP56
AA_0144,52.7,14.0828,Germany,0.87,IXb,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
AA_0209,52.4019,14.0672,Germany,0.74,IXb,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
AA_0282,52.8969,13.5353,Germany,0.17,IXb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AA_0325,53.0497,13.4408,Germany,0.80,IXb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AA_0523,51.676761,13.679507,Germany,0.42,IXb,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
AA_0534,52.9574,13.2829,Germany,0.10,IXb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AA_0537,52.7947,12.7797,Germany,0.05,IXb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AA_0545,52.3975,14.0678,Germany,0.85,IXb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AA_0546,52.7369,13.66,Germany,0.10,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AA_0553,52.8328,14.0908,Germany,0.89,IXb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AA_0554,52.8328,14.0908,Germany,0.88,IXb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AA_0571,52.9936,13.3047,Germany,0.10,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AA_0578,52.2125,14.0922,Germany,0.56,IXb,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AA_0580,52.2125,14.0922,Germany,0.75,IXb,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AA_0585,52.9936,13.3047,Germany,0.04,IXb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AA_0589,52.2125,14.0922,Germany,0.55,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AA_0667,53.0706,14.0939,Germany,0.84,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
AA_0689,52.9789,13.7325,Germany,0.69,IXb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AA_0793,53.1422,13.9533,Germany,0.87,IXb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AA_0805,53.1422,13.9533,Germany,0.81,IXb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AA_0900,52.6967,14.0833,Germany,NA,IXb,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE