"","Mouse_ID","qPCR_Date","Tested_by","Machine","Measurements","Ct_mean_Ep","Ct_mean_ABI","Ct_mean","Oocyst_Predict","Crypto_Positive","ILWE_DNA_Content_ng.microliter","ILWE_used_up","Sex","Longitude","Latitude","Year","HI","mus_caught","Crypto_mus_caught","Infection_Rate","Address","Top_Location"
"1","AA_0048","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"F",13.6761,52.4978,2016,0.72,12,1,0.0833333333333333,NA,FALSE
"2","AA_0049","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.6761,52.4978,2016,0.85,12,1,0.0833333333333333,NA,FALSE
"3","AA_0050","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.6761,52.4978,2016,0.7,12,1,0.0833333333333333,NA,FALSE
"4","AA_0051","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.9289,52.5028,2016,0.76,4,1,0.25,NA,FALSE
"5","AA_0052","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.9289,52.5028,2016,0.5789474,4,1,0.25,NA,FALSE
"6","AA_0053","2016","YVT","Eppendorf",1,34.16,NA,34.16,385,TRUE,NA,NA,"F",13.9289,52.5028,2016,0.6086957,4,1,0.25,NA,FALSE
"7","AA_0054","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.9289,52.5028,2016,0.7083333,4,1,0.25,NA,FALSE
"8","AA_0055","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.3064,52.91,2016,0,3,1,0.333333333333333,NA,FALSE
"9","AA_0056","2016","YVT","Eppendorf",1,30.395,NA,30.395,4935,TRUE,NA,NA,"F",13.3064,52.91,2016,0.08,3,1,0.333333333333333,NA,FALSE
"10","AA_0057","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.3064,52.91,2016,0,3,1,0.333333333333333,NA,FALSE
"11","AA_0058","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.1158,52.8431,2016,0.9166666667,3,0,0,NA,FALSE
"12","AA_0059","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"M",14.1158,52.8431,2016,0.85,3,0,0,NA,FALSE
"13","AA_0060","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.1158,52.8431,2016,0.84,3,0,0,NA,FALSE
"14","AA_0061","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.5953,52.2742,2016,0,3,0,0,NA,FALSE
"15","AA_0062","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.5953,52.2742,2016,0.04,3,0,0,NA,FALSE
"16","AA_0063","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"M",13.84,52.2678,2016,0.1,6,0,0,NA,FALSE
"17","AA_0065","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.4642,52.4164,2016,0,2,0,0,NA,FALSE
"18","AA_0067","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.4642,52.4164,2016,0.1,2,0,0,NA,FALSE
"19","AA_0071","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.6,52.8425,2016,0.04,1,0,0,NA,FALSE
"20","AA_0072","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.3047,52.9936,2016,0,21,3,0.142857142857143,"Mildenberger Str. 1, 16792 Zehdenick",TRUE
"21","AA_0073","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.3047,52.9936,2016,0,21,3,0.142857142857143,"Mildenberger Str. 1, 16792 Zehdenick",TRUE
"22","AA_0074","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.3047,52.9936,2016,0,21,3,0.142857142857143,"Mildenberger Str. 1, 16792 Zehdenick",TRUE
"23","AA_0075","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"F",13.3047,52.9936,2016,0,21,3,0.142857142857143,"Mildenberger Str. 1, 16792 Zehdenick",TRUE
"24","AA_0076","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.7072,52.2422,2016,0.05,3,0,0,NA,FALSE
"25","AA_0077","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"F",13.5883,52.2156,2016,0,2,1,0.5,NA,FALSE
"26","AA_0078","2016","YVT","Eppendorf",1,29.85,NA,29.85,7138,TRUE,NA,NA,"F",13.5883,52.2156,2016,0,2,1,0.5,NA,FALSE
"27","AA_0079","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.84,52.2678,2016,0.1,6,0,0,NA,FALSE
"28","AA_0081","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.84,52.2678,2016,0.05,6,0,0,NA,FALSE
"29","AA_0082","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.84,52.2678,2016,0,6,0,0,NA,FALSE
"30","AA_0083","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.6761,52.4978,2016,0.9130434783,12,1,0.0833333333333333,NA,FALSE
"31","AA_0084","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.6761,52.4978,2016,0.5,12,1,0.0833333333333333,NA,FALSE
"32","AA_0085","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.6761,52.4978,2016,0.8,12,1,0.0833333333333333,NA,FALSE
"33","AA_0086","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.6761,52.4978,2016,0.1666666667,12,1,0.0833333333333333,NA,FALSE
"34","AA_0087","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.6761,52.4978,2016,0.7826086957,12,1,0.0833333333333333,NA,FALSE
"35","AA_0089","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.84,52.2678,2016,0.04761905,6,0,0,NA,FALSE
"36","AA_0090","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.7072,52.2422,2016,0.05882352941,3,0,0,NA,FALSE
"37","AA_0091","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.5544,52.7881,2016,0,3,0,0,NA,FALSE
"38","AA_0092","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.5544,52.7881,2016,0,3,0,0,NA,FALSE
"39","AA_0093","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.3047,52.9936,2016,0.0625,21,3,0.142857142857143,"Mildenberger Str. 1, 16792 Zehdenick",TRUE
"40","AA_0094","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.3047,52.9936,2016,0.04,21,3,0.142857142857143,"Mildenberger Str. 1, 16792 Zehdenick",TRUE
"41","AA_0095","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.3047,52.9936,2016,0.05,21,3,0.142857142857143,"Mildenberger Str. 1, 16792 Zehdenick",TRUE
"42","AA_0096","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.0439,51.93,2016,0,1,0,0,NA,FALSE
"43","AA_0097","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.64,52.7169,2016,0.05555555556,2,0,0,NA,FALSE
"44","AA_0098","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.64,52.7169,2016,0,2,0,0,NA,FALSE
"45","AA_0099","4/18/2019","YVT","Eppendorf",1,32.58,NA,32.58,1123,TRUE,NA,NA,"M",13.0819,52.0311,2016,0.2941176471,1,1,1,NA,FALSE
"46","AA_0101","4/18/2019","YVT","Eppendorf",1,29.7,NA,29.7,7901,TRUE,NA,NA,"M",13.4639,51.8625,2016,0,1,1,1,NA,FALSE
"47","AA_0102","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.1953,51.9097,2016,0,1,0,0,NA,FALSE
"48","AA_0103","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.7336,52.9783,2016,0.9130434783,12,3,0.25,"Zehdenicker Str. 8, 16247 Joachimsthal",TRUE
"49","AA_0104","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.7336,52.9783,2016,0.9473684211,12,3,0.25,"Zehdenicker Str. 8, 16247 Joachimsthal",TRUE
"50","AA_0105","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.7336,52.9783,2016,0.8695652174,12,3,0.25,"Zehdenicker Str. 8, 16247 Joachimsthal",TRUE
"51","AA_0106","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,25.785,31.31,28.54729681,17247,TRUE,NA,NA,"M",13.7336,52.9783,2016,0.8947368421,12,3,0.25,"Zehdenicker Str. 8, 16247 Joachimsthal",TRUE
"52","AA_0107","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.7336,52.9783,2016,0.88,12,3,0.25,"Zehdenicker Str. 8, 16247 Joachimsthal",TRUE
"53","AA_0108","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"M",13.7336,52.9783,2016,0.8421052632,12,3,0.25,"Zehdenicker Str. 8, 16247 Joachimsthal",TRUE
"54","AA_0109","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"M",13.7336,52.9783,2016,0.9473684211,12,3,0.25,"Zehdenicker Str. 8, 16247 Joachimsthal",TRUE
"55","AA_0110","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"M",13.6761,52.4978,2016,0.5789473684,12,1,0.0833333333333333,NA,FALSE
"56","AA_0111","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,22.09,37.5111995,29.80059975,7380,TRUE,NA,NA,"F",13.895,52.9581,2016,0.8695652174,5,3,0.6,"Kirchstraße 1, 16247 Joachimsthal",TRUE
"57","AA_0112","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"M",13.895,52.9581,2016,0.8947368421,5,3,0.6,"Kirchstraße 1, 16247 Joachimsthal",TRUE
"58","AA_0113","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.84,52.2678,2016,0.1578947,6,0,0,NA,FALSE
"59","AA_0114","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"F",13.895,52.9581,2016,0.7826086957,5,3,0.6,"Kirchstraße 1, 16247 Joachimsthal",TRUE
"60","AA_0115","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.7336,52.9783,2016,0.9473684211,12,3,0.25,"Zehdenicker Str. 8, 16247 Joachimsthal",TRUE
"61","AA_0117","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.7336,52.9783,2016,0.92,12,3,0.25,"Zehdenicker Str. 8, 16247 Joachimsthal",TRUE
"62","AA_0118","4/18/2019","YVT","Eppendorf",1,33.18,NA,33.18,748,TRUE,NA,NA,"F",13.7336,52.9783,2016,0.9130434783,12,3,0.25,"Zehdenicker Str. 8, 16247 Joachimsthal",TRUE
"63","AA_0119","4/18/2019","YVT","Eppendorf",1,29.78,NA,29.78,7484,TRUE,NA,NA,"F",13.7336,52.9783,2016,0.8695652174,12,3,0.25,"Zehdenicker Str. 8, 16247 Joachimsthal",TRUE
"64","AA_0120","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,24.965,35.36763722,30.16631861,5761,TRUE,NA,NA,"F",13.895,52.9581,2016,0.8695652174,5,3,0.6,"Kirchstraße 1, 16247 Joachimsthal",TRUE
"65","AA_0121","4/18/2019","YVT","Eppendorf",1,31.11,NA,31.11,3040,TRUE,NA,NA,"F",13.895,52.9581,2016,0.8888888889,5,3,0.6,"Kirchstraße 1, 16247 Joachimsthal",TRUE
"66","AA_0122","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.7336,52.9783,2016,1,12,3,0.25,"Zehdenicker Str. 8, 16247 Joachimsthal",TRUE
"67","AA_0123","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"F",13.3047,52.9936,2016,0,21,3,0.142857142857143,"Mildenberger Str. 1, 16792 Zehdenick",TRUE
"68","AA_0124","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.3047,52.9936,2016,0.04,21,3,0.142857142857143,"Mildenberger Str. 1, 16792 Zehdenick",TRUE
"69","AA_0125","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.3047,52.9936,2016,0.04347826087,21,3,0.142857142857143,"Mildenberger Str. 1, 16792 Zehdenick",TRUE
"70","AA_0126","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.7875,52.7544,2016,0.2105263,5,0,0,NA,FALSE
"71","AA_0127","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.2567,53.0322,2016,0.05,4,0,0,NA,FALSE
"72","AA_0128","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.1869,53.0386,2016,0,1,0,0,NA,FALSE
"73","AA_0129","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.2567,53.0322,2016,0,4,0,0,NA,FALSE
"74","AA_0130","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.5878,52.1583,2016,0,5,0,0,NA,FALSE
"75","AA_0131","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.5878,52.1583,2016,0,5,0,0,NA,FALSE
"76","AA_0132","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.5878,52.1583,2016,0,5,0,0,NA,FALSE
"77","AA_0133","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.6086,52.1303,2016,0,1,0,0,NA,FALSE
"78","AA_0134","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.5878,52.1583,2016,0,5,0,0,NA,FALSE
"79","AA_0135","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.5878,52.1583,2016,0,5,0,0,NA,FALSE
"80","AA_0136","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.7875,52.7544,2016,0.1,5,0,0,NA,FALSE
"81","AA_0137","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.7875,52.7544,2016,0.1304348,5,0,0,NA,FALSE
"82","AA_0138","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.1167,52.4206,2016,0.84,1,0,0,NA,FALSE
"83","AA_0141","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.7731,53.1164,2016,0.875,2,0,0,NA,FALSE
"84","AA_0142","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.7731,53.1164,2016,0.7826087,2,0,0,NA,FALSE
"85","AA_0143","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.5544,52.7881,2016,0,3,0,0,NA,FALSE
"86","AA_0144","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,27.26,26.5,26.88,53344,TRUE,NA,NA,"F",14.0828,52.7,2016,0.8695652174,1,1,1,NA,FALSE
"87","AA_0145","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.0589,52.6703,2016,0.92,1,0,0,NA,FALSE
"88","AA_0146","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.81,51.8978,2016,0.2,13,0,0,NA,FALSE
"89","AA_0147","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.7875,51.8853,2016,0.1739130435,5,0,0,NA,FALSE
"90","AA_0148","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.81,51.8978,2016,0.05,13,0,0,NA,FALSE
"91","AA_0149","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.7875,51.8853,2016,0.24,5,0,0,NA,FALSE
"92","AA_0150","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.81,51.8978,2016,0.25,13,0,0,NA,FALSE
"93","AA_0151","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.81,51.8978,2016,0.12,13,0,0,NA,FALSE
"94","AA_0152","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.81,51.8978,2016,0.1052631579,13,0,0,NA,FALSE
"95","AA_0153","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.81,51.8978,2016,0.16,13,0,0,NA,FALSE
"96","AA_0154","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.81,51.8978,2016,0.25,13,0,0,NA,FALSE
"97","AA_0155","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.81,51.8978,2016,0.16,13,0,0,NA,FALSE
"98","AA_0156","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.81,51.8978,2016,0.12,13,0,0,NA,FALSE
"99","AA_0157","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.81,51.8978,2016,0.1578947368,13,0,0,NA,FALSE
"100","AA_0158","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.81,51.8978,2016,0.2,13,0,0,NA,FALSE
"101","AA_0159","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"F",13.81,51.8978,2016,0.12,13,0,0,NA,FALSE
"102","AA_0160","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.81,51.8978,2016,0.16,13,0,0,NA,FALSE
"103","AA_0173","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,36.76,38.17545677,37.46772839,41,TRUE,NA,NA,"M",14.0358,53.02,2016,0.9,2,1,0.5,NA,FALSE
"104","AA_0177","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.8433,53.1267,2016,0.7142857143,1,0,0,NA,FALSE
"105","AA_0178","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.7542,53.1314,2016,0.84,2,0,0,NA,FALSE
"106","AA_0179","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"M",13.7542,53.1314,2016,0.9,2,0,0,NA,FALSE
"107","AA_0180","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.2144,53.1514,2016,0.8,20,0,0,NA,FALSE
"108","AA_0181","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"M",13.2144,53.1514,2016,0.65,20,0,0,NA,FALSE
"109","AA_0182","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.1725,53.0503,2016,0.04,1,0,0,NA,FALSE
"110","AA_0183","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.2144,53.1514,2016,0.75,20,0,0,NA,FALSE
"111","AA_0184","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.2144,53.1514,2016,0.84,20,0,0,NA,FALSE
"112","AA_0185","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"M",14.0356,53.0203,2016,0.85,5,0,0,NA,FALSE
"113","AA_0186","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.0356,53.0203,2016,0.75,5,0,0,NA,FALSE
"114","AA_0187","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",14.0356,53.0203,2016,0.85,5,0,0,NA,FALSE
"115","AA_0188","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.0356,53.0203,2016,0.72,5,0,0,NA,FALSE
"116","AA_0189","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",14.0356,53.0203,2016,0.8,5,0,0,NA,FALSE
"117","AA_0191","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",14.0358,53.02,2016,0.8,2,1,0.5,NA,FALSE
"118","AA_0192","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.1267,52.7347,2016,0.88,7,1,0.142857142857143,NA,FALSE
"119","AA_0193","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.1267,52.7347,2016,0.88,7,1,0.142857142857143,NA,FALSE
"120","AA_0194","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",14.1267,52.7347,2016,0.9473684,7,1,0.142857142857143,NA,FALSE
"121","AA_0195","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.1267,52.7347,2016,0.88,7,1,0.142857142857143,NA,FALSE
"122","AA_0196","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.1633,53.2397,2016,0.9,6,0,0,NA,FALSE
"123","AA_0197","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.1267,52.7347,2016,0.88,7,1,0.142857142857143,NA,FALSE
"124","AA_0198","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.4497,53.0947,2016,0.7894736842,1,0,0,NA,FALSE
"125","AA_0199","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.1633,53.2397,2016,0.84,6,0,0,NA,FALSE
"126","AA_0200","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.1633,53.2397,2016,0.85,6,0,0,NA,FALSE
"127","AA_0201","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.1633,53.2397,2016,0.96,6,0,0,NA,FALSE
"128","AA_0202","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.1633,53.2397,2016,0.95,6,0,0,NA,FALSE
"129","AA_0203","4/16/2019","YVT","Eppendorf + Eppendorf",2,0,NA,0,0,FALSE,NA,NA,"F",13.4464,53.0481,2016,0.72,3,0,0,NA,FALSE
"130","AA_0205","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.4464,53.0481,2016,0.64,3,0,0,NA,FALSE
"131","AA_0206","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.1633,53.2397,2016,0.85,6,0,0,NA,FALSE
